Date,Location,Latitude,Longitude,Turnout,Type,Log(Turnout)
16/12/2019,SPPU,18.552413,73.826548,700,Anti,28.4509804
17/12/2019,Fergusson College,18.523701,73.83761,2000,Anti,33.01029996
17/12/2019,Pune District Collector's Office,18.5237,73.8708,3000,Anti,34.77121255
18/12/2019,Sambhaji Park,18.5199,73.8467,200,Anti,23.01029996
18/12/2019,SPPU,18.552412,73.826547,1000,Anti,30
19/12/2019,Fergusson Road,18.529744,73.843632,5,Anti,6.989700043
20/12/2019,Babajan Dargah (Camp),18.513528,73.876479,15000,Anti,41.76091259
20/12/2019,Dr Babasaheb Ambedkar chowk (Pimpri),18.6438,73.7552,500,Anti,26.98970004
21/12/2019,"Jhansi Rani Laxmibai Chowk, near Balghandarv",18.522992,73.848135,5,Anti,6.989700043
21/12/2019,Balgandharva Chowk - Deccan Gymkhana,18.52355,73.849932,200,Pro,23.01029996
22/12/2019,Koregaon Park,18.5362,73.894,5,Anti,6.989700043
27/12/2019,Shahir Amar Shaikh Chowk,18.5279,73.8634,150,Anti,21.76091259
29/12/2019,Golibar Maidan - Seven Loves Chowk - Maldhakka Chowk - Sassoon Hospital - Council Hall,18.502,73.8774,35000,Anti,45.44068044
29/12/2020,Talegaon Dabhade,18.7376,73.6747,5,Pro,6.989700043
4/1/2020,Kothrud,18.5074,73.8077,5,Anti,6.989700043
5/1/2020,FTII,18.513,73.8286,24,Anti,13.80211242
5/1/2020,IISER Pune,18.5475,73.8076,150,Anti,21.76091259
6/1/2020,Abasaheb Garware College,18.5122,73.8387,5,Anti,6.989700043
6/1/2020,Good Luck Chowk,18.5176,73.8416,200,Anti,23.01029996
6/1/2020,Collector's office,18.52371,73.87081,5,Anti,6.989700043
6/1/2020,SPPU,18.552411,73.826546,100,Anti,20
7/1/2020,ABVP office (Sadashiv Peth),18.5082,73.8441,20,Anti,13.01029996
7/1/2020,Abasaheb Garware College,18.51221,73.83871,5,Pro,6.989700043
7/1/2020,FTII-Senapati Bapat Road - SPPU,18.5131,73.82861,2000,Anti,33.01029996
8/1/2020,SPPU,18.552412,73.826545,12,Anti,10.79181246
8/1/2020,Modern College (Ganeshkhind),18.526,73.8457,5,Pro,6.989700043
9/1/2020,"Gandhi Bhavan, Kothrud",18.4964,73.8035,20,Anti,13.01029996
10/1/2020,"Kausarbag, Kondhwa",18.4748,73.8926,5,Anti,6.989700043
12/1/2020,Sambhaji Park,18.5199,73.8467,60,Anti,17.7815125
17/01/2020,"Kausarbag, Kondhwa",18.47481,73.89261,5,Anti,6.989700043
17/01/2020,JM Road,18.518736,73.844825,5,Anti,6.989700043
18/01/2020,Sambahji Park,18.51991,73.84671,50,Anti,16.98970004
18/01/2020,"Kausarbag, Kondhwa",18.4748,73.89262,600,Anti,27.7815125
22/01/2020,"Shivaji Market, Camp",18.5131,73.877,100,Anti,20
24/01/2020,Dandekar bridge,18.5009,73.8471,22,Anti,13.42422681
27/01/2020,Nilu Phule Kala Mandir,18.5023,73.8487,5,Anti,6.989700043
28/01/2020,Modern College (Ganeshkhind),18.5261,73.84571,300,Pro,24.77121255
29/01/2020,Yerawada,18.5529,73.8797,50,Anti,16.98970004
29/01/2020,Golibar Maidan,18.5021,73.87741,350,Anti,25.44068044
29/01/2020,Faraskhana,18.51645,73.855736,5,Anti,6.989700043
29/01/2020,Khadki,18.5626,73.8524,22,Anti,13.42422681
29/01/2020,Deccan Gymkhana,18.5165,73.8366,65,Anti,18.12913357
29/01/2020,Kothrud,18.50741,73.80771,5,Anti,6.989700043
29/01/2020,Korergaon Park,18.53621,73.8941,5,Anti,6.989700043
29/01/2020,Vishrantwadi,18.5726,73.8782,5,Anti,6.989700043
29/01/2020,Swargate,18.5018,73.8636,104,Anti,20.17033339
29/01/2020,Sarasbag,18.5014,73.8529,5,Anti,6.989700043
29/01/2020,Chandannagar,18.5636,73.9326,45,Anti,16.53212514
29/01/2020,Wanowrie,18.4848,73.9023,48,Anti,16.81241237
29/01/2020,Pune Camp,18.499,73.8957,5,Anti,6.989700043
29/01/2020,Kondhwa,18.4695,73.889,17,Anti,12.30448921
29/01/2020,Fergusson College,18.523704,73.83761,50,Pro,16.98970004
29/01/2020,Fergusson College,18.523702,73.83762,32,Anti,15.05149978
30/01/2020,"Gandhi Bhavan, Kothrud",18.49641,73.80351,5,Anti,6.989700043
30/01/2020,"Gandhi Bhavan, Kothrud",18.49642,73.80352,37,Pro,15.68201724
30/01/2020,Sarasbag,18.50141,73.85291,200,Anti,23.01029996
31/01/2020,Balgandharva Rangmandir,18.522,73.8486,5,Anti,6.989700043
